--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 62: R=-126.16, I=16.88, Magnitude=127.28
  Doppler Bin 63: R=131.69, I=-203.79, Magnitude=242.64

--- Ant 0 / Range Bin 4 Doppler FFT Results ---
  Doppler Bin 0: R=-93.72, I=213.89, Magnitude=233.52
  Doppler Bin 1: R=-66.57, I=98.70, Magnitude=119.05
  Doppler Bin 2: R=98.72, I=39.73, Magnitude=106.42
  Doppler Bin 3: R=-104.77, I=38.34, Magnitude=111.57
  Doppler Bin 4: R=-40.09, I=-87.44, Magnitude=96.19
  Doppler Bin 5: R=9.15, I=19.36, Magnitude=21.42
  Doppler Bin 6: R=-162.25, I=-284.17, Magnitude=327.23
  Doppler Bin 7: R=121.39, I=71.66, Magnitude=140.96
  Doppler Bin 8: R=-105.87, I=68.58, Magnitude=126.14
  Doppler Bin 9: R=3.92, I=-14.78, Magnitude=15.29
  Doppler Bin 10: R=-565.81, I=-232.16, Magnitude=611.58
  Doppler Bin 11: R=128.51, I=-93.41, Magnitude=158.87
  Doppler Bin 12: R=41.22, I=-257.05, Magnitude=260.34
  Doppler Bin 13: R=-85.12, I=-168.31, Magnitude=188.61
  Doppler Bin 14: R=119.76, I=-261.83, Magnitude=287.92
  Doppler Bin 15: R=-48.01, I=-78.17, Magnitude=91.74
  Doppler Bin 16: R=41.28, I=76.00, Magnitude=86.48
  Doppler Bin 17: R=221.21, I=133.76, Magnitude=258.50
  Doppler Bin 18: R=17.98, I=10.47, Magnitude=20.81
  Doppler Bin 19: R=16.57, I=-23.48, Magnitude=28.74
  Doppler Bin 20: R=-91.44, I=288.48, Magnitude=302.63
  Doppler Bin 21: R=-113.67, I=-11.73, Magnitude=114.27
  Doppler Bin 22: R=8.02, I=-54.73, Magnitude=55.32
  Doppler Bin 23: R=-140.10, I=18.33, Magnitude=141.29
  Doppler Bin 24: R=25.35, I=-355.26, Magnitude=356.16
  Doppler Bin 25: R=227.67, I=227.49, Magnitude=321.85
  Doppler Bin 26: R=-164.74, I=-55.11, Magnitude=173.71
  Doppler Bin 27: R=-190.07, I=38.01, Magnitude=193.83
  Doppler Bin 28: R=-60.76, I=-12.57, Magnitude=62.05
  Doppler Bin 29: R=-1.92, I=285.46, Magnitude=285.46
  Doppler Bin 30: R=24.39, I=-27.94, Magnitude=37.08
  Doppler Bin 31: R=179.69, I=59.31, Magnitude=189.23
  Doppler Bin 32: R=-3048.20, I=-383.02, Magnitude=3072.17
  Doppler Bin 33: R=-25.86, I=31.37, Magnitude=40.66
  Doppler Bin 34: R=-87.66, I=116.38, Magnitude=145.70
  Doppler Bin 35: R=181.21, I=96.62, Magnitude=205.36
  Doppler Bin 36: R=152.98, I=119.10, Magnitude=193.88
  Doppler Bin 37: R=211.52, I=-116.40, Magnitude=241.43
  Doppler Bin 38: R=-41.29, I=241.16, Magnitude=244.67
  Doppler Bin 39: R=118.75, I=-306.03, Magnitude=328.26
  Doppler Bin 40: R=69.36, I=-102.45, Magnitude=123.72
  Doppler Bin 41: R=-323.60, I=-167.36, Magnitude=364.32
  Doppler Bin 42: R=131.02, I=11.12, Magnitude=131.49
  Doppler Bin 43: R=-25.09, I=-100.26, Magnitude=103.35
  Doppler Bin 44: R=-130.72, I=-266.22, Magnitude=296.58
  Doppler Bin 45: R=-153.94, I=218.66, Magnitude=267.41
  Doppler Bin 46: R=-247.13, I=303.51, Magnitude=391.40
  Doppler Bin 47: R=85.22, I=145.39, Magnitude=168.52
  Doppler Bin 48: R=-226.39, I=150.94, Magnitude=272.10
  Doppler Bin 49: R=-35.65, I=-96.13, Magnitude=102.52
  Doppler Bin 50: R=-103.26, I=49.70, Magnitude=114.60
  Doppler Bin 51: R=-107.23, I=-142.48, Magnitude=178.32
  Doppler Bin 52: R=-69.47, I=-199.58, Magnitude=211.33
  Doppler Bin 53: R=71.46, I=-23.98, Magnitude=75.37
  Doppler Bin 54: R=-123.39, I=-357.61, Magnitude=378.30
  Doppler Bin 55: R=-97.90, I=158.56, Magnitude=186.35
  Doppler Bin 56: R=141.11, I=285.04, Magnitude=318.06
  Doppler Bin 57: R=-58.09, I=30.82, Magnitude=65.75
  Doppler Bin 58: R=394.32, I=-128.91, Magnitude=414.86
  Doppler Bin 59: R=-39.02, I=62.34, Magnitude=73.54
  Doppler Bin 60: R=228.35, I=77.60, Magnitude=241.18
  Doppler Bin 61: R=-31.61, I=-12.85, Magnitude=34.12
  Doppler Bin 62: R=-10.47, I=78.03, Magnitude=78.72
  Doppler Bin 63: R=-268.86, I=179.06, Magnitude=323.03

--- Ant 0 / Range Bin 5 Doppler FFT Results ---
  Doppler Bin 0: R=38.03, I=106.69, Magnitude=113.26
