--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 12: R=-40.81, I=-129.46, Magnitude=135.74
  Range Bin 13: R=25.59, I=96.51, Magnitude=99.85
  Range Bin 14: R=-10.85, I=-41.53, Magnitude=42.92
  Range Bin 15: R=0.96, I=28.14, Magnitude=28.15
  Range Bin 16: R=-48.31, I=11.69, Magnitude=49.70
  Range Bin 17: R=33.06, I=-3.38, Magnitude=33.23
  Range Bin 18: R=-39.17, I=22.63, Magnitude=45.24
  Range Bin 19: R=23.27, I=-76.24, Magnitude=79.72
  Range Bin 20: R=-480.37, I=-262.38, Magnitude=547.36
  Range Bin 21: R=1.05, I=-60.20, Magnitude=60.21
  Range Bin 22: R=-22.51, I=41.44, Magnitude=47.16
  Range Bin 23: R=364.58, I=97.90, Magnitude=377.50
  Range Bin 24: R=-164.30, I=-322.90, Magnitude=362.29
  Range Bin 25: R=-7.20, I=161.78, Magnitude=161.94
  Range Bin 26: R=-119.64, I=96.70, Magnitude=153.83
  Range Bin 27: R=100.17, I=-60.35, Magnitude=116.94
  Range Bin 28: R=32.41, I=-6.60, Magnitude=33.08
  Range Bin 29: R=-52.68, I=-30.27, Magnitude=60.76
  Range Bin 30: R=48.73, I=40.39, Magnitude=63.29
  Range Bin 31: R=-53.66, I=29.36, Magnitude=61.17
  Range Bin 32: R=3.23, I=-10.95, Magnitude=11.42
  Range Bin 33: R=73.67, I=-56.69, Magnitude=92.96
  Range Bin 34: R=-95.43, I=-47.01, Magnitude=106.38
  Range Bin 35: R=10.99, I=159.66, Magnitude=160.04
  Range Bin 36: R=-45.10, I=-60.77, Magnitude=75.68
  Range Bin 37: R=225.15, I=-47.77, Magnitude=230.16
  Range Bin 38: R=-289.31, I=78.69, Magnitude=299.82
  Range Bin 39: R=118.06, I=-8.31, Magnitude=118.35
  Range Bin 40: R=-31.12, I=-113.59, Magnitude=117.78
  Range Bin 41: R=-56.79, I=107.90, Magnitude=121.93
  Range Bin 42: R=73.75, I=11.89, Magnitude=74.71
  Range Bin 43: R=-15.88, I=-170.82, Magnitude=171.55
  Range Bin 44: R=7.79, I=325.30, Magnitude=325.39
  Range Bin 45: R=-76.58, I=-187.57, Magnitude=202.60
  Range Bin 46: R=100.78, I=-48.96, Magnitude=112.04
  Range Bin 47: R=-149.32, I=66.63, Magnitude=163.51
  Range Bin 48: R=130.91, I=9.25, Magnitude=131.24
  Range Bin 49: R=57.26, I=15.41, Magnitude=59.30
  Range Bin 50: R=-125.41, I=-32.50, Magnitude=129.56
  Range Bin 51: R=30.51, I=-72.93, Magnitude=79.05
  Range Bin 52: R=-48.20, I=162.53, Magnitude=169.53
  Range Bin 53: R=107.35, I=-93.37, Magnitude=142.27
  Range Bin 54: R=-10.32, I=30.11, Magnitude=31.83
  Range Bin 55: R=-60.98, I=-76.78, Magnitude=98.05
  Range Bin 56: R=-36.51, I=85.69, Magnitude=93.15
  Range Bin 57: R=49.15, I=-25.76, Magnitude=55.49
  Range Bin 58: R=38.27, I=22.99, Magnitude=44.65
  Range Bin 59: R=-115.68, I=-15.45, Magnitude=116.70
  Range Bin 60: R=52.61, I=-31.27, Magnitude=61.20
  Range Bin 61: R=-7.81, I=11.81, Magnitude=14.16
  Range Bin 62: R=27.02, I=40.60, Magnitude=48.77
  Range Bin 63: R=-98.31, I=-81.06, Magnitude=127.42

--- Ant 0 / Chirp 6 FFT Results (Post-DC) ---
  Range Bin 0: R=-32.01, I=0.00, Magnitude=32.01
  Range Bin 1: R=55.14, I=-61.51, Magnitude=82.61
  Range Bin 2: R=-27.80, I=40.18, Magnitude=48.86
  Range Bin 3: R=12.56, I=-1.01, Magnitude=12.60
  Range Bin 4: R=-50.59, I=-11.26, Magnitude=51.83
  Range Bin 5: R=49.08, I=-46.07, Magnitude=67.31
  Range Bin 6: R=-17.70, I=56.05, Magnitude=58.77
  Range Bin 7: R=13.54, I=-13.06, Magnitude=18.81
  Range Bin 8: R=3.36, I=-1.74, Magnitude=3.78
  Range Bin 9: R=-10.03, I=19.45, Magnitude=21.88
  Range Bin 10: R=-26.37, I=-16.59, Magnitude=31.15
  Range Bin 11: R=85.02, I=15.23, Magnitude=86.37
  Range Bin 12: R=-87.58, I=-31.14, Magnitude=92.95
  Range Bin 13: R=28.31, I=-3.94, Magnitude=28.59
  Range Bin 14: R=-46.04, I=-25.49, Magnitude=52.63
  Range Bin 15: R=34.07, I=61.94, Magnitude=70.69
  Range Bin 16: R=-20.68, I=-11.72, Magnitude=23.76
  Range Bin 17: R=12.28, I=19.54, Magnitude=23.08
  Range Bin 18: R=-3.92, I=-39.52, Magnitude=39.71
  Range Bin 19: R=44.51, I=-20.57, Magnitude=49.03
  Range Bin 20: R=-544.58, I=-321.20, Magnitude=632.25
  Range Bin 21: R=26.45, I=-100.21, Magnitude=103.65
  Range Bin 22: R=-68.98, I=152.50, Magnitude=167.38
  Range Bin 23: R=436.12, I=119.10, Magnitude=452.09
  Range Bin 24: R=-123.11, I=-391.41, Magnitude=410.32
  Range Bin 25: R=-81.87, I=192.44, Magnitude=209.13
  Range Bin 26: R=-41.08, I=80.56, Magnitude=90.43
